#,Bioeconomy Ventures URL,Name,Website URL,"Logo (Please save them as png file with ""#dataset_L"")",Facebook,Twitter,Linkedin,About my Start-up,"Why your idea is a “winner""?:",What is your current or intended business/revenue model?:,Do you have any Patent or IP registered (related to the solution that you are looking for an investment)?:,Has your technology already been implemented in any field/sector?:,Which market and customer need(s)/problem(s) is (are) your products(s)/service(s) going to solve?:,Company,Date of establishment/to be established,MRL,Requested Investment range (€),Languages,"Attachments (Please save them as pdf file with ""#dataset_P"")",TRL,Location:,Category,TM1 - First name,TM1 - Last name,TM1 - Position,TM1 - Linkedin,TM2 - First name,TM2 - Last name,TM2 - Position,TM2 - Linkedin,TM3 - First name,TM3 - Last name,TM3 - Position,TM3 - Linkedin,Youtube video URL
1,https://platform.bioeconomyventures.eu/resume/prevcarb-%86xg76ba-lisieux-calvados-normandie-france-metropolitaine-14100-france/,PREVCARB,,1_L,,,https://www.linkedin.com/company/82084157/,"Created in March 2021, Prevcarb’s mission is to develop in Normandy an innovative and large-scale project: the construction of a lignocellulosic biorefinery using its technology to transform local biomass into three platform molecules: lignin, cellulose and hemicellulose, for industrial customers seeking carbon-free, local and environmentally friendly solutions.","We capitalize on the experience of previous projects. Our technology execute a chemi-thermomechanical action under simpler conditions than our competitors. Our material yield  is excellent, and our lignin ranks among the very best in the market.","Products from the pilot plant will be sold to parners, but the main goal of the pilot plant is to pursue the scale up.
Our commercial plant will be profitable without any operating subsidies or green premium on products.",We have filed a provisional application for a European patent.,"We have 3 products : lignin, cellulose, and hemicellulose,.
The strongest demand is for our native organosolv lignin that have been tested alreaddy by several customers.
Hemicellulose is being tested by prospects in the field of animal feed.
Cellulose is been tested by our academic partner INP Pagora, the french pup and paper specialized engineers school.","Our goal is to offer biosourced solutions to contribute to the ecological transition, which means gradually phasing out the use of petrochemical products. Prevcarb is an environmental impact company: we are working to develop a process with a low environmental footprint, and our products will enable our clients to reduce their own environmental impact.
Our process separates lignocellulosic biomass into its three main components: lignin, cellulose, and hemicellulose, which are industrial raw materials. These products can be used as-is or further processed for various applications. • Lignin can replace phenols, which have countless applications in the chemical industry. • Cellulose is not intended for the paper industry but rather for the chemical industry. • Hemicellulose can be used directly in animal feed or for biostimulation, or it can be transformed into ethanol, furfural, or acetic acid.",PREVCARB,27-Mar-21,5 - Capability to produce prototype components in a production relevant environment.,501.000 to 1.000.000,"English, Français",,TRL 5 – technology validated in relevant environment (industrially relevant environment in the case of key enabling technologies),"Lisieux, Calvados, Normandie, France métropolitaine, 14100, France","Plastics, Materials, Textiles",Nass,Alexis,CEO,https://www.linkedin.com/in/alexis-nass-52616aa/,Grigorieff,Jean-Marc,CTO,https://www.linkedin.com/in/jean-marc-grigorieff-a6211265/,Rivet,Christian,Advisor,https://www.linkedin.com/in/christian-rivet-de-sabatier-5ab23a33/,
2,https://platform.bioeconomyventures.eu/resume/ceven-hif7gptgpj-zurich-switzerland/,CEVEN,,2_L,,https://twitter.com/ceventech,https://www.linkedin.com/company/ceven-tech/,"For companies that want to meet environmental standards, CEVEN is the B2B platform to measure biodiversity in their areas of interest. Our advantage: we combine local and remote sensing data.",No other service is available that combines the data sources we do to reduce complexity enough for decision-makers to understand biodiversity.,"Data processing, analysis, and reports.",Trademark,"We are currently rolling out pilots in urban environments, agriculture, and forestry.",Biodiversity monitoring and reporting.,CEVEN,18-Aug-20,6 - Capability to produce a prototype system or subsystem in a production relevant environment,1.000.000 to 2.500.000,"English, German",,TRL 5 – technology validated in relevant environment (industrially relevant environment in the case of key enabling technologies),"Zurich, Switzerland","Agriculture, Others",,,,,,,,,,,,,
3,https://platform.bioeconomyventures.eu/resume/biorengaz-4yjmtnnde-strasbourg-bas-rhin-grand-est-metropolitan-france-france/,BIORENGAZ,,3_L,https://www.facebook.com/Biorengaz-100657821525377/,https://twitter.com/BioRenGaz,https://www.linkedin.com/company/biorengaz,"As an OEM, BioRenGaz is providing patented bioreactor for biogas plants. A dedicated and standardized line for food waste valorization is added to optimize the benefits of existing biogas plants or to improve those of new ones.
The innovative and eco-friendly bioreactor uses a patented sustainable biofilm carrier providing an ecological habitat for bacteria. This increases bacterial concentration, resistance and AD performances (Thermophilic Fixed Bed Anaerobic Digester vs. Mesophilic Continuous Stirred-Tank Reactor):
Performance 4 X higher
Up to 10 X more compact
Reduction of – 75 % in operating costs
Increase of + 10 % of biogas and operating revenue","Simple, Efficient and Eco-logical","As an OEM, BioRenGaz markets studies and the developed bioreactors.","French and Eurasian patents validated.
Internationalization in progress: EU / ARIPO / AU / BR / CA / CN / IN / OAPI / US.
Patent no. WO2020165271 / FR3092834 / EP3924305.",Performance of the BioRenGaz industrial pilot has been validated on an agricultural anaerobic digestion plant processing food waste from the agri-food industry.,"Energy price volatility, particularly electricity prices, has a direct impact on Corporate profitability. Anaerobic digestion allows the production of local renewable energy distributed in the form of renewable gas (biomethane), heat, electricity and/or fuel (bioCNG).
Renewable energy can be marketed or self-consumed to gain energy autonomy and secure their business model. Technologies currently on the market have significant energy consumption. BioRenGaz solution with optimized operational costs and energy consumption helps them to reach this goal.",BIORENGAZ,2-Jan-19,8 - Pilot line capability demonstrated. Ready to begin low-rate production,501.000 to 1.000.000,"English, Français",3_P,TRL 7 – system prototype demonstration in operational environment,"Strasbourg, Bas-Rhin, Grand Est, Metropolitan France, France","Bioenergy & Biofuels, Waste valorisation",Jonathan,Fritsch,Founder &amp; CEO,https://fr.linkedin.com/in/jonathanfritschbioprocess,Walter,Debenath,Associate Director,https://fr.linkedin.com/in/walter-debenath-5a697659,Etienne,Meyer,Project Manager,https://fr.linkedin.com/in/etienne-meyer,https://www.youtube.com/embed/IZb7JDCKqcU?feature=oembed
4,https://platform.bioeconomyventures.eu/resume/nellie-q1sknjonz-aberystwyth-ceredigion-wales-united-kingdom/,NELLIE TECHNOLOGIES,,4_L,,https://twitter.com/Nellie_Tech,https://www.linkedin.com/company/nellie-tech/,Climate change is the single biggest issue facing the world today.,"Our current prototype shows projected capabilities for our technology to be fully scalable and modular, meaning our units integrate with each other efficiently to meet stakeholder needs. These capabilities are key features that differentiates us.","For our carbon farming revenue stream, we will conduct carbon capture at our own carbon farms and sell our Carbon Dioxide Removal Certificates (CORCs) to organisations operating in the voluntary or compulsory ETS. We will be conducting offsite carbon capture and selling our CORCs to organisations as proof their carbon emissions are being offset.",We have a patent-pending additive profile and mechanical growth enhancer.,"Yes it has been tested, as part of an accelerator program in spring 2022 we built a mini-prototype of our solution and are operating at TRL 4/ 5. We also tested novel additive profiles for our PBR and January 2023, and identified a profile which will increase our carbon capture rate over the state of the art. These developments are currently patent pending and will push our solution beyond the state of the art.",UK Government's CCUS Roadmap recognises that direct air capture (DAC) and point source capture (PSC) both have a significant role to play in a blended approach to addressing climate change. The customers for our technology are organisations that are currently (or will soon be) required to participate in these emissions trading schemes (ETS). Our product directly addresses these organisation's needs for emissions mitigation technologies either via compulsory ETS or voluntary Environmental Social Governance (ESG) participation.,NELLIE TECHNOLOGIES,16-Jul-23,1 - Basic manufacturing implications identified,1.000.000 to 2.500.000,English,,TRL 4 – technology validated in lab,"Aberystwyth, Ceredigion, Wales, United Kingdom",Biotech,Stephen,Milburn,Founder,https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urnlifsd_profileACoAAAZFFDAB0FiPqiBCdx7ft2XUzuxa5BURG6w&keywords=stephenmilburn&origin=RICH_QUERY_SUGGESTION&position=1&searchId=ca881bd3-520c-4458-a72e-ca3c2c6fd6c7&sid=IuK,Andrew,Wilkerson,Commercial Engagement Manager,https://www.linkedin.com/in/andrew-wilkerson-4b09aa13b/,Ally,Sheller,Monitoring and Reporting Manager,https://www.linkedin.com/in/ally-sheller-241259209/,
5,https://platform.bioeconomyventures.eu/resume/nablawave-ftvytget3e-padova-veneto-italia/,NABLAWAVE,,5_L,,,https://www.linkedin.com/company/nablawave/,"Nablawave is an engineering company providing R&amp;D services in the field of new product development and process optimisation. We use advanced design and analysis techniques, derived from our expertise in the Aerospace sector, to provide our customers with smart, innovative solutions. We follow new projects from the preliminary design phase to experimental tests, suggesting a mixed approach able to minimise development time and costs.","The advantages of our propulsion system, compared to competitive solutions, are even more numerous:
1. decrease in hull resistance, due to ingestion of the boundary layer, resulting in lower fuel consumption
2. increased thrust efficiency at low speeds: instead of running only one engine at part load (which is highly inefficient), some engines will run at optimal conditions, others will be switched off
3. increased manoeuvrability, as the speed and thrust of each engine can be controlled
4. decrease in propeller draft, particularly important in shallow waters
5. ease of installation on hydrofoils
6. greater safety for man and fish (closed propeller) and less water turbulence for less impact on the marine environment.
There are also some cons: increased complexity of controls and potential increase in production costs: however, we believe we can keep production costs low due to the reduced number of batteries, increased modularity and elimination of gearboxes.","The electric boat market was valued at $4.58 billion in 2020 and is expected to reach $9.01 billion by 2026, growing at a CAGR of 12.65% during the forecast period (2021 - 2026). At Nablawave, we want to target the electric propulsion market, estimated at 1-1.5 billion. The interesting fact about this market is the high growth expected in the coming years, which will be driven not only by increasing demand, but also by new emission laws and regulations.
Our technology solution is perfectly suited to the growing market for electric boats: its adoption will increase the efficiency with which power is managed and distributed in a boat compared to current electric configurations, freeing up even more market potential; moreover, its implementation is only possible with hybrid or full-electric propulsion configurations, which would not be feasible with older diesel engines. We expect that not all boats and boat sizes will benefit equally from our solution; therefore, a first step in the business development process will be to identify the boats and boat sizes that will benefit most from our propulsion system. The following steps are envisaged:
1. determination of the positive benefits for different boat classes
2. development and testing of the prototype on the smallest possible scale (power boats, pleasure boats)
3. development of partnerships with shipyards on pilot projects at different scales
4. evaluation of partnerships with companies interested in the industrial production of propulsion system components; during this time Nablawave will make the decision to license its patent to a production partner (retaining IP royalties and R&amp;D activities) or to establish a spin-off company focused on the development and commercialisation of the propulsion system
5. pre-sales of retrofit systems for small boats
6. serial industrialisation of small propulsion system modules
7. development of larger modules for larger vessels","Yes, we have a patent pending.",Our technology is still under development.,"Ships are estimated to cause up to 40% of air pollution in Mediterranean coastal cities. A report by the French Ministry of the Environment states that ship pollution causes around 6000 premature deaths in the Mediterranean each year. Our project is related to the development of an innovative, emission-free electric propulsion system for boats and ships. Nowadays, the use of electric motors in the marine sector is seen as a problem because of the enormous amount of energy storage required to achieve a reasonable range for the boat: large volumes of batteries, fuel cells or a combination of the two are needed to compete with traditional diesel-powered boats. Our patented technology will decrease the energy storage required for electric boats, helping to increase the adoption of more sustainable and green electric propulsion. This will have a positive impact on coastal areas in particular, as it will accelerate the transition to electric boats. In particular, if our technology is successful in the market, ports and port cities like Taranto will experience a reduction in air pollution.
If production is carried out in partnership with large companies in Puglia, the reconversion of old production facilities could be an opportunity for new jobs in the area. In addition, high-tech companies that have emerged in Apulia in recent years, with a focus on electronics and advanced manufacturing, will also be involved in the project.",NABLAWAVE,1-Aug-19,1 - Basic manufacturing implications identified,251.000 to 500.000,"Italiano, English, Español",5_P,TRL 3 – experimental proof of concept,"Padova, Veneto, Italia",Others,Gianluigi,Mistè,COO,https://www.linkedin.com/in/gianluigimiste/,,,,,,,,,
6,https://platform.bioeconomyventures.eu/resume/polypea-kj2mxtis8-warcoing-pecq-tournai-mouscron-hainaut-wallonie-7740-belgique/,POLYPEA,,6_L,,,https://www.linkedin.com/company/polypea,"Based in Belgium, PolyPea is developing a 100% biobased, biodegradable and water-soluble thermoplastic based on pea starch, a by-product of the agri-food industry. Through a circular approach, the aim is to offer a natural polymer as a sustainable alternative to petro-sourced films in the packaging, agriculture and food sectors.","We have the advantage to be linked to the family business Cosucra that provides our main raw material: pea starch.
Pea starch is cheap and available resource that does not need any further extraction or transformation process and gives us a unique differentiation with regards to other bioplastics.",We intend to be an industrial producer of bioplastic pellets that will be sold to be transformed into water-soluble films or other applications.,We have 2 pending patents concerning our thermoplastic formulation.,Still in R&amp;D phase.,"The replacement of petro-sourced plastics by sustainable solutions, especially the replacement of water-soluble PVOH. The need for sustainable alternatives is driven by ecological concerns as well as stronger regulations (microplastics, single-use, etc.)",POLYPEA,17/04/2020,4 - Capability to produce the technology in a laboratory environment,501.000 to 1.000.000,,,TRL 4 – technology validated in lab,"Warcoing, Pecq, Tournai-Mouscron, Hainaut, Wallonie, 7740, Belgique","Plastics, Materials, Textiles, Waste valorisation",,,,,,,,,,,,,
7,https://platform.bioeconomyventures.eu/resume/recov-wqjatgrya-berlin-alemania/,RECOV LABS,,7_L,,,,"RECOV Labs is a start-up founded by young researchers with ongoing academic activity with the goal to REdesign the COnsumer-products Value chain, focused on sustainable vegetable oils. We aim to establish a competitive supply chain in Europe that recovers vegetable oils from underused industrial residues and transforms them into marketable commodities. We use green chemistry and biotechnological processes, free of fossil-based solvents, to extract oils from bio-waste, and market them in the cosmetics and (potentially food) industry.
We are cooperating with an instant coffee factory in Germany, and research partners at Helmholtz and Fraunhofer centers to secure fast technology development, and a reliable supply chain and scalability. Our oils meet the quality demands as well as the standards of sustainable ingredients and our business is embedded in a circular economy so far overlooked in the field.","RECOV Labs developed a technology that uses infrastructure already available at the industrial level. Our products are produced in a non-seasonal way, with a quality that matches conventional oils, and with technologies that are afordable and do not harm the environment. Due to the abundance of waste biomass, upcycled coffee oil does not require additional land use, does not conflict with food/feed production, and has the potential to significantly reduce imports of palm oil. We will become a supplier of sustainable vegetable oils for cosmetics developers committed to sustainable practices in Germany and potentially France, which have the largest consumer markets for cosmetics in Europe (13.6 and 12 € Billion), foreseeing a major mindset-changing impact on the market. Moreover, we are contributing to a Sustainable Bioconomy by recycling bio-waste and mitigating GHS emissions caused by landfilling of unused coffee grounds.","Our business model focuses on the procurement of bio-waste from instant coffee factories in Germany, its distribution to storage and extraction centers, the further development of efficient extraction technologies, and the distribution of upcycled oils to cosmetics and food market manufacturers (B2B model).
Our main product is coffee oil obtained from a German instant coffee factory. Upcycled coffee oil has similar properties and fatty-acid composition to palm oil, being a perfect candidate to cover its increasing demand in the cosmetics and food sector. Upcycle coffee oil has also been approved as a cosmetic ingredient, its skin benefits have been demonstrated and it is already in use by a few sustainable brands in Europe. We tested different extraction technologies to render a method that provides higher oil yields, and better organoleptic properties, in comparison to our main competitor.","Currently, we do not have any patents registered. The first patent is planned to be filed by the end of 2023.","Yes, a few companies focused on the extraction of essential oils and cosmetics ingredients are using supercritical CO2 as a solvent for the extraction of high-quality substances.","The vegetable oil industry is at the heart of food and non-food supply chains. European mills process and extract oil from rapeseed, sunflower seed, and soybeans; however, to fulfill the demand for vegetable oils, the industry relies on imported tropical oils such as palm, palm kernel, and coconut oil. Emerging regulations and concerns on the tropical oils supply chain and its linkage to deforestation have grown the need for long-term sustainable and responsible solutions for meeting consumer needs and societal expectations. In addition, the vegetable oils supply chain has shown to be highly sensitive to crises such as the Covid19 pandemic and geopolitical conflicts, revealing extreme price volatility and scarcity.  Moreover, almost all commercial vegetable oils are extracted using hexane, refined from petroleum.
Commodities manufacturers are now more than ever committed to ensuring that alternative vegetable oils meet strict sustainability standards and give, whenever possible, priority to domestically produced oils. Coffee has an oil content of 20% in dry mass, which has been untouched during the fermentation, roasting, and caffeine extraction from the coffee grounds, making spent coffee grounds (Kaffesatz in German), a bio-waste from food processing in the EU, an ideal bio-waste for the recovery of oils to replace exported tropical oils.",RECOV LABS,1-Sep-23,2 - Manufacturing concepts identified,101.000 to 250.000,"English, German, Español",,TRL 5 – technology validated in relevant environment (industrially relevant environment in the case of key enabling technologies),"Berlín, Alemania","Biotech, Fragrances, Cosmetics, Personal Care, Waste valorisation",,,,,,,,,,,,,
8,https://platform.bioeconomyventures.eu/resume/biowerkz-rl7cnfmkpi-karlsruhe-baden-wurttemberg-germany/,BIOWERKZ,,8_L,,,https://sg.linkedin.com/in/alireza-javadian,"Biowerkz is founded on three main strategies which include resource efficiency, circular economy, and renewable materials to address the need for development of alternative products for construction and furniture industry to lower their CO2 emission. The research at Biowerkz has resulted in development of a new class of bio-based, resource-efficient, and CO2-negative material called “NEWood” which is developed using only available organic waste including wood waste and agricultural waste and produced using mushroom mycelium as a natural binder without the need for any synthetic binders. NEWood is a 100% biobased replacement for wood and engineered wood products and is produced following a circular economy model where no freshly cut wood or freshly cut natural fiber is used. Furthermore, NEWood aims to create a paradigm shift within construction sector by upcycling, transforming, and repurposing million tonnes of organic waste in to “wood from no wood” to address greenhouse gas emissions by the construction and furniture industry. The research has shown that NEWood has comparable properties to engineered wood products such as Medium Density Fiber boards (MDF), Oriented Strand Board (OSB) and particleboards. The use of mycelium, the structural part of fungi which forms its vegetative growth and mass is a novel binding method to facilitate the production of a 100% sustainable, biobased, and fully circular engineered wood product alternative.","Sustainability is at the core of our work. We aim to commercialize NEWood as new class of sustainable, biobased materials that is engineered to complement the role of wood-based products in construction and furniture industry by replacing energy-intensive and non-renewable components currently being used. Through the research and development works on NEWood, the founding team of Biowerkz with more than 10 years of work experiences, address at least five of the United Nations Sustainable Development Goals (SDGs) namely Goal 11, Goal 12, Goal 13, and Goal 15.
Most importantly the global forests are under threat from deforestation and degradation due to excessive demand for wood-based products, secondly the CO2 emission from production of synthetic resins and binders for production of wood-based products have led to major negative impacts on climate change, and thirdly majority of the available wood-based products do not conform to circular economy principles; thus, actions need to be taken to reduce the pressure from our forest and reduce the greenhouse gas emissions from our industries. With these respects “NEWood” has been developed to answer the call for sustainable and renewable materials while reducing the dependency to the extraction and processing of raw materials through application of mushroom mycelium as a natural binder to bind wood waste and agricultural waste by-products to create innovative, bio-based, and circular materials as alternative to freshly cut timber from our forest.","Biowerkz has an IP-heavy Asset-light business strategy. There are two revenue streams that are explained below:
1- Biowerkz partners with companies from wood and furniture and agriculture industries and collect their by-products and waste stream. The waste streams then will be processed further into mycelium based formulations at Biowerk partner mushroom farms. Biowerkz then transport the treated waste from its mushroom farm partners to its production facility where NEWood panels/boards are produced following the patented process developed by Biowerkz. NEWood semi-finished boards are then sold to customers who are contractors, building developers, furniture manufacturers or Interior designers. Biowerkz makes revenue through the sales of NEWood to various customers segments.
2- Biowerkz forms Joint Venture company with its potential partners from Wood and furniture industries. Biowerkz will have a stake in the JV while also makes revenue by licensing its technology to the JV. The JV then produces NEWood panels/parts for the range of customers whom are determined by the JV partners based on their market demand and market access. Through this process Biowerkz reduces its risks and will have two revenue streams.","Biowerkz patented process is the result of close to 5 years research and development works in Singapore and Germany.
The IP has been already filed to the Karlsruhe Institute of Technology, as the research university where the spin off company Biowerz comes from.  The patent submission is currently under way. However it is confirmed that Biowerz will be able to have an exclusive license from KIT university and with a potential to take over ownership after certain milestones are fulfilled.","Given the fact that Biowerkz is an early stage startup, commercial application of NEWood has not yet been possible. However the team has completed a proof-of-concept project as a self-sustainable modular home, in Indonesian island of Batam, where NEWood panels are used as interior wall replacing the traditional wooden walls/partition walls. Also NEWood has been in various exhibitions in Berlin, Singapore and Zurich. Currently Biowerkz is working with three pilot project partners from construction and furniture industries and these partners will be able to employ NEWood in their projects once the pilot projects are successfully completed.","Employing OSB, MDF, Particleboards and similar engineered wood products within the construction industry does not come without consequences. Firstly, about a third of the wood extracted from natural forests worldwide is used for timber products. Today, timber harvesting is a major driver for deforestation across Europe which has led to adverse impacts on climate change and the environment. Secondly, the type of adhesives used to bind the wood particles and fibers create another challenge when it comes to environmental impacts from use of such products. Particleboards and Medium Density Fiber (MDF) boards are widely used within construction sector and are produced using mainly urea formaldehyde (UF) based adhesives. However, UF adhesives are known to produce formaldehyde emissions which is harmful to human health and their production rely primarily on non-renewable resources, thus they are not environmentally friendly, nor biodegradable and can increase the waste production at the end of their usage. Therefore, we need to think more radically with regards to development of more sustainable, material-efficient, and circular products for construction industry which replace products such as particleboards, MDF boards and even plastics.
With this fact in mind, Biowerkz addresses the above-mentioned challenges to establish new materials and production techniques that can address the demand for sustainable, high-performance, and affordable construction and furniture materials. our aim is to utilizes the million tons of organic waste in the form of wood waste and agricultural waste available as by-products of timber, food and agricultural industries and transform them with the power of fungi mycelium following a circular economy model into biobased and sustainable products with similar or better properties as alternative to OSB, MDF and particleboards used manly within construction and furniture industry. The novel process developed at Biowerkz allows the industry to move towards a circular economy model, thus leaving no waste behind.",BIOWERKZ,1-Jul-23,2 - Manufacturing concepts identified,501.000 to 1.000.000,"English, German",8_P,TRL 4 – technology validated in lab,"Karlsruhe, Baden-Württemberg, Germany","Forestry, Pulp, Paper, Plastics, Materials, Textiles",Nazanin,Saeidi,CEO,https://de.linkedin.com/in/nazanin-saeidi,Yean,Ong,COO,https://sg.linkedin.com/in/ongyeanchau,,,,,
9,https://platform.bioeconomyventures.eu/resume/enginzyme-texasszu-stockholms-kommun-stockholm-county-sweden/,ENGINZYME AB,,9_L,,,,"EnginZyme is solving one of the fundamental challenges of our time – how to produce chemicals, foods, materials and other products that modern society relies on, in a truly sustainable way. This is done by making it easier and more cost efficient to use enzymes. EnginZyme’s cell-free processes can be retrofitted  in equipment already established in the industry, avoiding high CapEx. We have a portfolio of patents granted globally for our basic EziG technology, covering general enzyme immobilisations and their use in production processes. Our proprietary immobilisation technology eliminates several common issues with enzyme immobilisation and is broadly applicable, demonstrated by successful immobilisation and utilisation of all enzyme classes. By utilising our ground-breaking cell-free biomanufacturing technology we can replace traditional fossil-based and energy–intensive chemical production with a biological alternative that is both economical and sustainable.","Our direct competitors are companies using synthetic biotechnology to develop manufacturing processes, such as Gingko, Genomatica, Solugen, etc.","We generate revenues through customer driven projects and internal projects. We develop new manufacturing processes that we can commercialize as:
1- catalyst supply to manufacturing partner or customer,
2- process license,
3- production &amp; marketing of chemicals (under a JV with partner, own production unit or contract manufacturing)","We have a portfolio of patents granted globally for our basic EziG technology, covering general enzyme immobilisations and their use in production processes. Our proprietary immobilisation technology eliminates several common issues with enzyme immobilisation and is broadly applicable, demonstrated by successful immobilisation and utilisation of all enzyme classes.","We are currently developing several solutions across market verticals:
- Edible oil processing: we are creating a biocatalyst outperforming incumbent one, currently scaling up and ready for industrial use in Q3/2024 with our codevelopment customer
- Enzymatic processes to improve existing sweeteners production or develop new sweeteners: we piloted the process and we are launching a dedicated spinout to obtain food approvals and commercial launch of kojibiose (prebiotic low calorie sweetener)
- We are developing a process to produce high value intermediates for mRNA vaccines
- We developed a process and produced samples for alpha-arbutin, a cosmetic ingredient. We are looking for off-takers and process licensees","Many green chemistry companies have biomimetic processes — imitating what nature does. In nature enzymes are the key catalysts that allow cells to create chemicals necessary for life. But using living cells to manufacture chemicals industrially can be complex and requires a highly conditioned environment known as a bioreactor. EnginZyme enables cell-free processes in equipment already established in the industry, avoiding high CapEx. Additionally, EnginZyme’s tailored, stable, solid biocatalysts can be used both as a standard heterogeneous catalyst in batch and in continuous processes, therefore enabling more productive and efficient manufacturing. Furthermore, EnginZyme does not only focus on the performance of the catalyst. Instead we evaluate and design a complete process solution from raw materials to products. By designing with the end commercial solution in mind, the scale-up is faster and risks are mitigated. In every new project we perform techno economic assessments, analysing the economic performance of proposed industrial process or product to ensure we met set cost targets.
We are developing processes &amp; products in several markets as we have a versatile technology (food, nutraceuticals, cosmetics, chemical intermediates, APIs, etc)",ENGINZYME AB,,8 - Pilot line capability demonstrated. Ready to begin low-rate production,Above 10.000.000,"English, Français, Español",,TRL 5 – technology validated in relevant environment (industrially relevant environment in the case of key enabling technologies),"Stockholms kommun, Stockholm County, Sweden","Biotech, Foodtech, Fragrances, Cosmetics, Personal Care, Platform and specialty Chemicals",,,,,,,,,,,,,
10,https://platform.bioeconomyventures.eu/resume/boreal-dlm0jp756-finland/,BOREAL BIOPRODUCTS – MONTINUTRA,,10_L,,,https://linkedin.com/in/jaakkopajunen,"Montinutra is a biorefinery startup from Finland. We develop and produce natural biochemicals from forest industry side streams. We manufacture polysaccharides, lignins and fibers using natural water based extraction technology – no harsh modification or complex handling of chemicals. Together with downstream partners, we develop novel applications targeting the cosmetic and polymer chemistry domains. The polysaccharides are already used as cosmetic ingredients in hair care as well as a backbone for biolatex dispersion. Such uses have a billion €-scale market potential to replace synthetics in coatings, adhesion and paints. Further, our natural non-sulphuric lignin makes a cosmetic ingredient with SPF boosting capabilities, but also a novel antioxidant and combined with the polysaccharides as a glue ingredient. Our fibers are utilized as composite materials and absorbers. Our feedstock comes from forest industry side streams of the saw and pulp mills, consisting typically of saw dust and bark. The feedstock and process is scalable to other geographies as well. We currently operate at a pilot plant level in Finland with first paying customers as well as ongoing industrial pilots and proof-of-concepts. Our plant has proven the technology at TRL7, and  we are able to provide small commercial activities and most importantly industrial piloting and development. Our process consists of hot water extraction and further fractionation and de-watering including e.g. membrane filtration. We currently operate at max output of 1000 kg / year of dry polysaccharides and lignin. Our industrial partner, Metsä Group, enables the scaling to an industrial demonstration at one of their saw mill locations. We are carrying out a pre-engineering of a full scale plant.  We look for application development partners providing commercial proof for the markets, to convince the investors, as well as the investors to fund the pre-A and Series-A needs during 2023-2024","Our process uses water and energy - it is effective, natural, robust and technically ready for scaling in comparison to some other biorefinery concepts.
Our feedstock is available: 365 days, homogenous, industrially scalable.
We reduce the environmental footprint our our customers.","Sales to B2B partners and distributors of our raw materials.
B2B sales of raw materials under the Boreal Bioproducts brand to non-exclusive customers.
Technology licencing and joint ventures for feedstock and value chain growth.","Technologies utilized are commercially separately available and in public information.
Trade secrets and specific knowhow remains within the company and protected contractually.","We operate a pilot level plant proving the technology at pre-industrial scale.
From the products point of view, the polysaccharides are already used as commercial ingredients in hair care.
In industrial pilots and POCs, the polysaccharides have been used for making biolatex dispersions.
Lignin-sugar compounds have been piloted in glues replacing PVA components.","Renewable raw materials substituting fossil chemicals in
- Coatings, barriers, binders, adhesives
- Cosmetic film formers, foam boosters, SPF-boosters",BOREAL BIOPRODUCTS – MONTINUTRA,,8 - Pilot line capability demonstrated. Ready to begin low-rate production,501.000 to 1.000.000,English,10_P,TRL 6 – technology demonstrated in relevant environment (industrially relevant environment in the case of key enabling technologies),Finland,Platform and specialty Chemicals,Ann-Sofie,Fonsen,Development Director,https://linkedin.com/in/ann-sofie-fonsen,,,,,,,,,
